ID,Area,City,Restaurant Price,Avg Rating,Total Rating,Food Item,Food Type,Delivery Time,Review
1,Suburb,Ahmedabad,600,4.2,6198,Sushi,Fast Food,30-40 min,"Good, but nothing extraordinary."
2,Business District,Pune,200,4.7,4865,Pepperoni Pizza,Non-Vegetarian,50-60 min,"Good, but nothing extraordinary."
3,Suburb,Bangalore,600,4.7,2095,Waffles,Fast Food,50-60 min,Late delivery ruined it.
4,Business District,Mumbai,900,4.0,6639,Sushi,Vegetarian,50-60 min,Best meal I've had in a while!
5,Tech Park,Mumbai,200,4.7,6926,Spring Rolls,Gluten-Free,20-30 min,Mediocre experience.
6,Old Town,Hyderabad,300,4.5,7088,Smoothie Bowl,Gluten-Free,30-40 min,Best meal I've had in a while!
7,Tech Park,Bangalore,100,3.0,503,Pani Puri,Fast Food,20-30 min,Amazing taste and quick delivery.
8,Suburb,Ahmedabad,900,5.0,3849,Lassi,Vegetarian,30-40 min,My new favorite dish!
9,Tech Park,Bangalore,1000,4.2,1132,Lassi,Gluten-Free,50-60 min,Absolutely loved it!
10,Suburb,Chennai,900,3.0,5820,Burrito,Vegetarian,50-60 min,Superb packaging and presentation.
11,Old Town,Chennai,500,4.7,2541,Cheeseburger,Fast Food,30-40 min,Absolutely loved it!
12,Business District,Chennai,400,3.0,7358,Brownie,Vegan,50-60 min,Disappointed.
13,Downtown,Hyderabad,500,4.7,3878,Salmon Teriyaki,Fast Food,30-40 min,Average taste.
14,Old Town,Pune,600,4.2,5280,Gulab Jamun,Fast Food,20-30 min,Average taste.
15,Residential Area,Chennai,1000,4.0,2461,Grilled Cheese,Healthy,40-50 min,Worst experience ever.
16,Tech Park,Chennai,600,3.0,5048,Dal Makhani,Vegetarian,40-50 min,Mediocre experience.
17,Tech Park,Hyderabad,300,4.5,5663,Dosa,Healthy,20-30 min,Disappointed.
18,Old Town,Pune,700,5.0,8122,Avocado Toast,Healthy,40-50 min,Perfectly cooked and well-seasoned.
19,Old Town,Kolkata,700,3.0,9494,Burrito,Vegan,40-50 min,Disappointed.
20,Old Town,Pune,900,5.0,7207,Steak,Non-Vegetarian,30-40 min,Not as described.
21,City Center,Pune,100,3.5,9436,Idli Sambar,Vegan,20-30 min,Would order again if needed.
22,Downtown,Kolkata,400,5.0,805,Samosa,Healthy,30-40 min,"Good, but nothing extraordinary."
23,Tech Park,Hyderabad,800,4.0,4137,Veg Biryani,Vegetarian,20-30 min,Tasty and worth the price.
24,Residential Area,Hyderabad,500,4.5,5071,Poke Bowl,Non-Vegetarian,40-50 min,Nothing special but edible.
25,Residential Area,Mumbai,600,4.0,6505,Idli Sambar,Non-Vegetarian,20-30 min,Absolutely loved it!
26,Tech Park,Kolkata,1000,3.0,187,Sushi,Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
27,Business District,Delhi,1000,3.5,1308,Shawarma,Fast Food,20-30 min,Absolutely loved it!
28,Tech Park,Delhi,900,4.0,4963,Veg Biryani,Healthy,20-30 min,Terrible taste!
29,Downtown,Chennai,400,4.7,730,Steak,Gluten-Free,30-40 min,Highly recommended!
30,City Center,Ahmedabad,400,4.5,7950,Ice Cream Sundae,Vegetarian,20-30 min,Highly recommended!
31,Business District,Bangalore,700,4.2,1419,Smoothie Bowl,Gluten-Free,20-30 min,Standard quality.
32,Tech Park,Mumbai,400,5.0,3600,Gulab Jamun,Non-Vegetarian,40-50 min,My new favorite dish!
33,Residential Area,Pune,400,5.0,2997,Greek Salad,Gluten-Free,20-30 min,Tasty and worth the price.
34,City Center,Mumbai,900,4.5,9078,Chicken Biryani,Healthy,40-50 min,Nothing special but edible.
35,Suburb,Ahmedabad,1000,4.0,1350,Tandoori Chicken,Healthy,30-40 min,Nothing special but edible.
36,City Center,Mumbai,100,4.7,9518,Burrito,Fast Food,40-50 min,Mediocre experience.
37,Old Town,Bangalore,400,3.5,6221,Steak,Vegan,30-40 min,Tasty and worth the price.
38,Suburb,Kolkata,1000,4.5,7937,Waffles,Fast Food,40-50 min,Would order again if needed.
39,Suburb,Chennai,200,4.5,5607,Tacos,Vegan,30-40 min,Superb packaging and presentation.
40,Old Town,Kolkata,800,4.0,5337,Margherita Pizza,Fast Food,30-40 min,Delicious and fresh.
41,Downtown,Kolkata,500,5.0,5906,Pani Puri,Gluten-Free,50-60 min,Superb packaging and presentation.
